Model,Differential Form,Integral Form
F1/3,(3/2)*(1 - a)**(1/3),1 - (1 - a)**(2/3)
F3/4,4*(1 - a)**(3/4),1 - (1 - a)**(1/4)
F3/2,2*(1 - a)**(3/2),(1 - a)**(-1/2) - 1
F2,(1 - a)**2,(1 - a)**(-1) - 1
F3,(1 - a)**3,(1 - a)**(-2) - 1
F1/A1,(1 - a),-np.log(1 - a)
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),(-np.log(1 - a))**(1/2)
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),(-np.log(1 - a))**(1/3)
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),(-np.log(1 - a))**(1/4)
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),(-np.log(1 - a))**(3/2)
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),(-np.log(1 - a))**(2/3)
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),(-np.log(1 - a))**(4/3)
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),(-np.log(1 - a))**(2/5)
F0/R1/P1,"np.full_like(a, 1)",a
R2,2*(1 - a)**(1/2),1 - (1 - a)**(1/2)
R3,3*(1 - a)**(2/3),1 - (1 - a)**(1/3)
P3/2,(2/3)/a**(1/2),a**(3/2)
P2,2*a**(1/2),a**(1/2)
P3,3*a**(2/3),a**(1/3)
P4,4*a**(3/4),a**(1/4)
E1,a,np.log(a)
E2,a / 2,np.log(a**2)
D1,1 / (2*a),a**2
D2,1 / (-np.log(1 - a)),a + (1 - a)*np.log(1 - a)
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),(1 - (1 - a)**(1/3))**2
D4,(3/2) / ((1 - a)**(-1/3) - 1),1 - (2*a/3) - (1 - a)**(2/3)
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),((1 - a)**(-1/3) - 1)**2
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),((1 + a)**(1/3) - 1)**2
D7,(3/2) / (1 - (1 + a)**(-1/3)),1 + (2*a/3) - (1 + a)**(2/3)
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),((1 + a)**(-1/3) - 1)**2
G1,1 / (2*(1 - a)),1 - (1 - a)**2
G2,1 / (3*(1 - a)**2),1 - (1 - a)**3
G3,1 / (4*(1 - a)**3),1 - (1 - a)**4
G4,(1/2)*(1 - a)*(-np.log(1 - a)),(-np.log(1 - a))**2
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,(-np.log(1 - a))**3
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,(-np.log(1 - a))**4
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),(1 - (1 - a)**(1/2))**(1/2)
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),(1 - (1 - a)**(1/3))**(1/2)
B1,1 / (a - (1 - a)),np.log(a / (1 - a))
